system,rank,power,rmax,efficiency,year,month,list_rank
"BladeCenter HS21 Cluster, Xeon QC HT 2.8 GHz, GigEthernet",477,60.12,9045.15,150.45159680638722,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.8 GHz, GigEthernet",478,60.12,9045.15,150.45159680638722,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 2.8 GHz, GigEthernet",479,60.12,9045.15,150.45159680638722,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",486,69.42,8996.78,129.59925093632958,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",487,69.42,8996.78,129.59925093632958,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",488,69.42,8996.78,129.59925093632958,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",489,69.42,8996.78,129.59925093632958,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",490,69.42,8996.78,129.59925093632958,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",491,69.42,8996.78,129.59925093632958,2008,6,31
"BladeCenter HS21 Cluster, Xeon QC HT 3 GHz, GigEthernet",492,59.8,8996.78,150.44782608695655,2008,6,31
